,VMT,tod,vehicle_type,hourId
0,420.0326211922822,10to14,heavytruck,10
1,29977.503387143,10to14,hov2,10
2,12750.565584399,10to14,hov3,10
3,529.7089870405055,10to14,mediumtruck,10
4,80704.936272528,10to14,sov,10
5,99.0971717567065,14to15,heavytruck,14
6,6581.115446607,14to15,hov2,14
7,2868.890277171,14to15,hov3,14
8,122.91752371772174,14to15,mediumtruck,14
9,18929.410488027,14to15,sov,14
10,84.89461791412538,15to16,heavytruck,15
11,7415.1245397659995,15to16,hov2,15
12,3298.275562531,15to16,hov3,15
13,106.36718439317471,15to16,mediumtruck,15
14,20923.208052871,15to16,sov,15
15,61.15102817840158,16to17,heavytruck,16
16,8268.600798725,16to17,hov2,16
17,3837.675927961,16to17,hov3,16
18,76.41068613962791,16to17,mediumtruck,16
19,24621.814900629,16to17,sov,16
20,42.41111727915658,17to18,heavytruck,17
21,7566.184143761,17to18,hov2,17
22,3533.126521802,17to18,hov3,17
23,55.07761392183152,17to18,mediumtruck,17
24,23046.585052347,17to18,sov,17
25,48.57660727614719,18to20,heavytruck,18
26,12400.088349229,18to20,hov2,18
27,5988.063634232,18to20,hov3,18
28,60.58000883651853,18to20,mediumtruck,18
29,35575.211116689,18to20,sov,18
30,101.76146744941971,20to5,heavytruck,20
31,10724.138049348,20to5,hov2,20
32,5385.255971522,20to5,hov3,20
33,126.96682708686038,20to5,mediumtruck,20
34,30491.441565449,20to5,sov,20
35,46.77118159287032,5to6,heavytruck,5
36,1022.89035809,5to6,hov2,5
37,612.74259249,5to6,hov3,5
38,57.35951942740458,5to6,mediumtruck,5
39,2207.660952776,5to6,sov,5
40,74.72683535634802,6to7,heavytruck,6
41,3161.35173777,6to7,hov2,6
42,1797.5948176,6to7,hov3,6
43,95.62436532569397,6to7,mediumtruck,6
44,6353.415869052,6to7,sov,6
45,100.35436677880969,7to8,heavytruck,7
46,4650.64727402,7to8,hov2,7
47,2500.275711356,7to8,hov3,7
48,126.60796539520035,7to8,mediumtruck,7
49,11176.49447435,7to8,sov,7
50,99.26853747199007,8to9,heavytruck,8
51,6173.22342093,8to9,hov2,8
52,3118.176186225,8to9,hov3,8
53,125.54035992515455,8to9,mediumtruck,8
54,14944.449840257,8to9,sov,8
55,96.41159036485638,9to10,heavytruck,9
56,7236.184092836,9to10,hov2,9
57,3217.067699791,9to10,hov3,9
58,119.38429950512058,9to10,mediumtruck,9
59,17859.519522542,9to10,sov,9
