year,geography,estimate
1980,King,19797388
1981,King,22952732
1982,King,23837814
1983,King,25858027
1984,King,27878240
1985,King,28349358
1986,King,30170462
1987,King,32255912
1988,King,34300130
1989,King,34842807
1990,King,34915648
1991,King,35792641
1992,King,36298127
1993,King,37929322
1994,King,38436193
1995,King,41191711
1996,King,40493106
1997,King,42202682
1998,King,42998846
1999,King,43956669
2000,King,44361146
2001,King,44102351
2002,King,44597204
2003,King,44476954
2004,King,44958449
2005,King,45206254
2006,King,45196533
2007,King,45123736
2008,King,44007596
2009,King,44299005
2010,King,45563286
2011,King,45386055
2012,King,43704316
2013,King,43725957
2014,King,44417914
2015,King,45225840
2016,King,47049154
2017,King,47248000
2018,King,47809411
2019,King,47773645
2020,King,39367765
2021,King,42153003
1980,Kitsap,1804326
1981,Kitsap,2062016
1982,Kitsap,1961526
1983,Kitsap,2040126
1984,Kitsap,2118726
1985,Kitsap,1990739
1986,Kitsap,2031834
1987,Kitsap,2441231
1988,Kitsap,1257530
1989,Kitsap,3675187
1990,Kitsap,3627148
1991,Kitsap,3673041
1992,Kitsap,3763758
1993,Kitsap,3828291
1994,Kitsap,3856572
1995,Kitsap,3957355
1996,Kitsap,3997963
1997,Kitsap,4138789
1998,Kitsap,4154968
1999,Kitsap,4230576
2000,Kitsap,4187003
2001,Kitsap,4134497
2002,Kitsap,4285644
2003,Kitsap,4344546
2004,Kitsap,4415089
2005,Kitsap,4394999
2006,Kitsap,4385564
2007,Kitsap,4544632
2008,Kitsap,4424824
2009,Kitsap,4531509
2010,Kitsap,4702975
2011,Kitsap,4677304
2012,Kitsap,4800959
2013,Kitsap,4782647
2014,Kitsap,4870860
2015,Kitsap,5098105
2016,Kitsap,4957732
2017,Kitsap,5019000
2018,Kitsap,5119890
2019,Kitsap,5090695
2020,Kitsap,4382783
2021,Kitsap,4730000
1980,Pierce,7529159
1981,Pierce,7519894
1982,Pierce,7979846
1983,Pierce,8205190
1984,Pierce,8430533
1985,Pierce,8862288
1986,Pierce,9063798
1987,Pierce,10607484
1988,Pierce,12010468
1989,Pierce,12714865
1990,Pierce,12936828
1991,Pierce,13162882
1992,Pierce,13428518
1993,Pierce,13720265
1994,Pierce,13951057
1995,Pierce,14303758
1996,Pierce,14235140
1997,Pierce,14835031
1998,Pierce,15099825
1999,Pierce,15287139
2000,Pierce,15667338
2001,Pierce,15731064
2002,Pierce,16626231
2003,Pierce,16736583
2004,Pierce,16468511
2005,Pierce,16603243
2006,Pierce,17244241
2007,Pierce,17364623
2008,Pierce,16987692
2009,Pierce,17185111
2010,Pierce,17419712
2011,Pierce,17474811
2012,Pierce,17047176
2013,Pierce,17272923
2014,Pierce,17435404
2015,Pierce,17835715
2016,Pierce,18515796
2017,Pierce,18630000
2018,Pierce,18858479
2019,Pierce,18966366
2020,Pierce,16304353
2021,Pierce,17405000
1980,Snohomish,7277546
1981,Snohomish,6895925
1982,Snohomish,6726404
1983,Snohomish,6450833
1984,Snohomish,6175262
1985,Snohomish,6879278
1986,Snohomish,6712703
1987,Snohomish,8374182
1988,Snohomish,9969957
1989,Snohomish,10479160
1990,Snohomish,10665738
1991,Snohomish,10924535
1992,Snohomish,11482050
1993,Snohomish,11737497
1994,Snohomish,12002289
1995,Snohomish,12248391
1996,Snohomish,12774115
1997,Snohomish,13363422
1998,Snohomish,13676380
1999,Snohomish,13881015
2000,Snohomish,14195181
2001,Snohomish,14254171
2002,Snohomish,14415839
2003,Snohomish,14345802
2004,Snohomish,14260068
2005,Snohomish,14429711
2006,Snohomish,14707824
2007,Snohomish,14986022
2008,Snohomish,14613719
2009,Snohomish,14859408
2010,Snohomish,15373670
2011,Snohomish,15346630
2012,Snohomish,15302540
2013,Snohomish,15353501
2014,Snohomish,15523004
2015,Snohomish,15828094
2016,Snohomish,16361986
2017,Snohomish,16449000
2018,Snohomish,16607806
2019,Snohomish,16597145
2020,Snohomish,14141073
2021,Snohomish,15192000
1980,Region,36408000
1981,Region,39431000
1982,Region,40506000
1983,Region,42554000
1984,Region,44603000
1985,Region,46082000
1986,Region,47979000
1987,Region,53679000
1988,Region,57538000
1989,Region,61712000
1990,Region,62145000
1991,Region,63553000
1992,Region,64972000
1993,Region,67215000
1994,Region,68246000
1995,Region,71701000
1996,Region,71500000
1997,Region,74540000
1998,Region,75930000
1999,Region,77355000
2000,Region,78411000
2001,Region,78222000
2002,Region,79925000
2003,Region,79904000
2004,Region,80102000
2005,Region,80634000
2006,Region,81534000
2007,Region,82019000
2008,Region,80034000
2009,Region,80875000
2010,Region,83060000
2011,Region,82885000
2012,Region,80855000
2013,Region,81135000
2014,Region,82247000
2015,Region,83988000
2016,Region,86885000
2017,Region,87346000
2018,Region,88396000
2019,Region,88428000
2020,Region,74196000
2021,Region,79480000
