Location,trips,vmt,speed,distance,port,year
Distribution Centers,3.1,161.3705,38.83743178,52.055,Everett,2014
I-5 South,3.18805,260.661,33.68376844,81.76189207,Everett,2014
I-90,1.45865,109.57615,38.53622496,75.12161931,Everett,2014
I-5 North,0.96795,24.5712,25.69933663,25.38478227,Everett,2014
other externals,0.7,41.68745,30.00725214,59.5535,Everett,2014
Rest of King County,27.6987,1087.635,37.5237621,39.26664428,Everett,2014
Snohomish County,9.5144,110.82255,27.70130917,11.64787585,Everett,2014
Rest of Pierce County,13.2631,879.621,39.50634713,66.32092045,Everett,2014
Kitsap County,2.5543,213.2085,37.57667707,83.47042242,Everett,2014
Distribution Centers,180.256,3955.515,36.01059693,21.94387427,Seattle,2014
I-5 South,63.41085,3217.84,29.96968422,50.7458897,Seattle,2014
I-90,26.9068,1468.735,36.30951474,54.58601543,Seattle,2014
I-5 North,19.30535,1103.96,31.73674413,57.18414844,Seattle,2014
other externals,11.38085,747.614,31.40267705,65.69052399,Seattle,2014
Rest of King County,1533.96,20186.35,29.22875139,13.15963258,Seattle,2014
Snohomish County,613.5995,20079.25,33.05525603,32.72370659,Seattle,2014
Rest of Pierce County,552.0236,18858.575,37.16660114,34.16262457,Seattle,2014
Kitsap County,82.10625,5702.625,41.56316089,69.45421329,Seattle,2014
Distribution Centers,201.634,2598.42,30.43843354,12.88681472,Tacoma,2014
I-5 South,272.8755,6622.405,22.35008606,24.26896149,Tacoma,2014
I-90,106.5005,6706.67,36.86300052,62.97313158,Tacoma,2014
I-5 North,67.5649,5670.33,35.577239,83.92419733,Tacoma,2014
other externals,41.71295,2839.1,32.26806135,68.06279585,Tacoma,2014
Rest of King County,1688.5056,47363.825,36.28172831,28.05073611,Tacoma,2014
Snohomish County,675.1475,39746.5,38.46730193,58.87083934,Tacoma,2014
Rest of Pierce County,542.216,6091.71,26.79068233,11.23483999,Tacoma,2014
Kitsap County,89.94425,3823.415,41.14786458,42.50872068,Tacoma,2014
Distribution Centers,3.8199,207.84375,37.99110833,54.410783,Everett,2018
I-5 South,8.63,704.2507,34.24656775,81.60494786,Everett,2018
I-90,3.8262,285.5566,38.63719592,74.63190633,Everett,2018
I-5 North,5.0186,128.0577,26.2823218,25.51661818,Everett,2018
other externals,1.6312,128.46245,30.69277231,78.7533411,Everett,2018
Rest of King County,32.4997,1288.6348,36.41757503,39.65066754,Everett,2018
Snohomish County,8.0286,110.1513,32.21598935,13.71986399,Everett,2018
Rest of Pierce County,19.2058,1215.5499,39.3302781,63.29077154,Everett,2018
Kitsap County,1.3,119.6784,37.32678082,92.06030769,Everett,2018
Distribution Centers,345.3982,8072.7502,34.19042598,23.37229957,Seattle,2018
I-5 South,724.8372,37006.3295,30.2915846,51.05467752,Seattle,2018
I-90,320.4176,17641.9105,35.92486489,55.05911816,Seattle,2018
I-5 North,419.4026,24193.405,31.75139449,57.68539585,Seattle,2018
other externals,122.703,8819.82565,33.5003248,71.8794622,Seattle,2018
Rest of King County,2443.17015,38480.787,28.60650371,15.75035083,Seattle,2018
Snohomish County,642.0778,24740.338,34.71532124,38.53168261,Seattle,2018
Rest of Pierce County,1605.08075,52462.5835,35.69422935,32.68532346,Seattle,2018
Kitsap County,106.6055,7402.7612,42.72315999,69.44070615,Seattle,2018
Distribution Centers,430.3526,5232.00095,30.87088054,12.15747494,Tacoma,2018
I-5 South,901.4945,22011.6935,23.30973083,24.41689162,Tacoma,2018
I-90,397.4056,25112.927,38.12028582,63.19218199,Tacoma,2018
I-5 North,522.3082,43899.5325,36.30703249,84.04909687,Tacoma,2018
other externals,151.6022,8042.62495,31.80577241,53.0508459,Tacoma,2018
Rest of King County,3475.4758,99381.5775,36.62478488,28.59509984,Tacoma,2018
Snohomish County,799.27995,51732.845,40.60266381,64.72431218,Tacoma,2018
Rest of Pierce County,1458.34285,15519.5775,27.31318058,10.64192655,Tacoma,2018
Kitsap County,132.1501,5599.25365,43.47865018,42.37040797,Tacoma,2018
