year,king,kitsap,pierce,snohomish,region
1980,19797388,1804326,7529159,7277546,36408419
1981,22952732,2062016,7519894,6895925,39430567
1982,23837814,1961526,7979846,6726404,40505590
1983,25858027,2040126,8205189.5,6450833,42554175.5
1984,27878240,2118726,8430533,6175262,44602761
1985,28349358.42,1990738.82,8862288.377,6879277.706,46081663.32
1986,30170461.76,2031834.138,9063798.409,6712702.523,47978796.83
1987,32255911.66,2441230.626,10607484.13,8374182.057,53678808.47
1988,34300130.35,1257530.08,12010467.78,9969956.537,57538084.74
1989,34842806.84,3675187.281,12714865.14,10479160.31,61712019.57
1990,34915647.84,3627147.781,12936827.64,10665738.31,62145361.57
1991,35792641.34,3673041.281,13162881.64,10924534.81,63553099.07
1992,36298126.84,3763758.281,13428518.14,11482050.31,64972453.57
1993,37929321.56,3828290.521,13720264.76,11737497.2,67215374.05
1994,38436193,3856572,13951057,12002289,68246111
1995,41191711,3957355,14303758,12248391,71701215
1996,40493106.07,3997962.779,14235140.49,12774114.74,71500324.07
1997,42202682,4138789,14835031,13363422,74539924
1998,42998846,4154968,15099825,13676380,75930019
1999,43956669,4230576,15287139,13881015,77355399
2000,44361146,4187003,15667338,14195181,78410668
2001,44102351,4134497,15731064,14254171,78222083
2002,44597204,4285644,16626231,14415839,79924918
2003,44476954,4344546,16736583,14345802,79903885
2004,44958449,4415089,16468511,14260068,80102117
2005,45206254,4394999,16603243,14429711,80634207
2006,45196533,4385564,17244241,14707824,81534162
2007,45123736,4544632,17364623,14986022,82019013
2008,44007596,4424824,16987692,14613719,80033831
2009,44299005,4531509,17185111,14859408,80875033
2010,45563286,4702975,17419712,15373670,83059643
2011,45386055,4677304,17474811,15346630,82884800
2012,43704316,4800959.029,17047176.42,15302540.22,80854991.67
2013,43725957.42,4782647.02,17272923.43,15353501.03,81135028.89
2014,44417914.26,4870860.259,17435403.92,15523003.79,82247182.23
2015,45225839.89,5098105.101,17835715.15,15828093.73,83987753.87
2016,47049154.06,4957732.122,18515795.81,16361986,86884667.99
2017,47248000,5019000,18630000,16449000,87346000
2018,47809411.35,5119889.788,18858479.2,16607805.85,88395586.18
2019,47773645,5090695,18966366,16597145,88427851
2020,39367765.26,4382782.861,16304352.89,14141073,74195974.01
2021,42153000,4730000,17405000,15192000,79480000
