pollutant_name,CO,CO,CO,NOx,NOx,NOx,PM25 Total,PM25 Total,PM25 Total
veh_type,light,medium,heavy,light,medium,heavy,light,medium,heavy
MIC,,,,,,,,,
Ballard-Interbay,595.2338191,27.70607699,6.362283803,61.57628239,9.654988239,18.79018175,2.59179764,0.332261311,0.694723571
Cascade,680.7937663,30.18500846,40.8310714,87.65260368,9.420138132,130.2823983,2.302657801,0.272358202,4.559426397
Duwamish,5483.679409,486.5672687,291.7440955,669.4728978,160.526966,912.6953106,21.70320846,4.792586371,31.73682901
Frederickson,378.4443042,16.17014711,2.992121311,45.75195936,5.164327628,9.229191798,1.333441182,0.156437963,0.324771725
Kent MIC,1986.99837,171.9136265,109.347555,243.6571512,57.86238114,347.1655013,7.332340771,1.708121428,11.47673233
North Tukwila,49.31596465,4.452579193,1.7226225,4.648022175,1.639023932,4.881100533,0.247149741,0.061058748,0.163499738
Paine Field _ Boeing Everett,886.8820265,149.4336588,16.49797729,110.9347772,47.29691981,51.79918483,3.031635289,1.394477357,1.812406363
Port of Tacoma,1215.911443,80.51898468,99.0832032,160.7057903,25.76906019,308.1416252,4.242296259,0.735487312,10.74350767
Puget Sound Industrial Center- Bremerton,192.845501,0.964684475,0.086161105,31.20506375,0.300629915,0.299114116,0.465608234,0.008085534,0.008107087
Sumner Pacific,743.1924327,67.47168673,65.59241717,91.5477014,21.45668465,201.9443034,2.737677861,0.622567418,7.139678181
