veh_type,vmt_2018,vmt_2019,vmt_2020,vmt_2030,vmt_2040,vmt_2050,geography
heavy,1462327.867,1480471.71,1498615.554,1680053.987,1884895.998,2076409.929,King County Total
light,43814360.5,43943515.54,44072670.58,45364221,47634928.12,50140391.03,King County Total
medium,2094468.569,2107854.936,2121241.302,2255104.962,2315409.493,2307089.519,King County Total
heavy,77816.86221,78830.10069,79843.33918,89975.72403,100038.0646,110062.9216,Kitsap County Total
light,4473607.582,4507794.875,4541982.168,4883855.098,5333066.245,5741103.528,Kitsap County Total
medium,165340.9656,166494.3052,167647.6448,179181.0409,197898.5051,193175.7315,Kitsap County Total
heavy,555689.0941,563180.781,570672.468,645589.3375,742744.2618,820033.4849,Pierce County Total
light,17414811.84,17541131.94,17667452.04,18930653.04,20235734.88,21518371.17,Pierce County Total
medium,567541.6986,571847.2459,576152.7932,619208.2663,649519.4451,651708.8897,Pierce County Total
heavy,553839.832,561007.0206,568174.2092,639846.0952,713950.1558,783213.4084,Snohomish County Total
light,15759501.29,15907571.83,16055642.37,17536347.81,18988546.9,20423282.32,Snohomish County Total
medium,574914.1262,582854.8301,590795.5341,670202.5732,708203.0082,715506.7767,Snohomish County Total
