Zone,HBW_P,HBW_A,HBO_P,HBO_A,NHB_P,NHB_A
1,1367.6,5553.5,3413.3,13105.7,10104.2,10104.2
2,996.2,2015.0,2365.7,4652.3,3393.2,3393.2
3,1768.1,2460.0,4173.5,5762.1,4150.0,4150.0
4,2113.5,2513.5,4913.9,6179.3,4700.3,4700.3
5,986.1,1112.5,2452.1,2688.8,1969.1,1969.1
6,2564.6,1772.0,5864.2,4181.7,3182.4,3182.4
7,620.5,1603.5,1494.8,3704.4,2756.7,2756.7
8,92.3,917.5,219.6,1159.5,1765.4,1765.4
9,1286.5,489.5,2917.6,1244.3,800.1,800.1
10,1472.7,561.5,3466.4,1412.8,918.0,918.0
11,1193.7,341.5,2708.6,894.9,534.7,534.7
12,2200.8,1301.5,4972.1,3133.4,2076.8,2076.8
13,1803.7,474.5,4156.0,1241.4,678.6,678.6
14,1959.8,622.5,4678.4,1562.5,895.7,895.7
15,1219.9,485.0,2898.0,1196.5,743.8,743.8
16,1055.0,272.0,2466.4,693.6,393.6,393.6
17,1237.3,563.5,2917.0,1347.5,842.1,842.1
18,1024.4,1332.0,2398.1,3108.8,2204.1,2204.1
19,1031.8,707.0,2392.8,1672.3,1121.3,1121.3
20,2252.9,2448.0,5197.3,5596.9,3992.3,3992.3
21,910.5,1612.0,2134.8,3661.3,2500.3,2500.3
