TRV_TIME,HBW_FF,HBO_FF,NHB_FF
1,30.00,70.00,33.00
2,20.00,40.00,20.00
3,15.00,22.00,15.00
4,10.00,15.00,10.00
5,8.00,9.60,7.50
6,5.60,8.00,6.00
7,4.50,5.20,4.50
8,3.50,3.80,3.40
9,2.80,2.70,2.80
10,2.20,2.00,2.20
11,1.80,1.80,1.80
12,1.50,1.40,1.50
13,1.30,1.00,1.20
14,1.10,0.85,1.00
15,0.90,0.80,0.80
16,0.74,0.60,0.70
17,0.62,0.52,0.50
18,0.55,0.45,0.50
19,0.50,0.40,0.42
20,0.44,0.34,0.36
21,0.38,0.30,0.31
22,0.35,0.26,0.24
23,0.32,0.24,0.25
24,0.29,0.21,0.22
25,0.28,0.18,0.19
26,0.25,0.16,0.16
27,0.24,0.15,0.16
28,0.23,0.13,0.14
29,0.22,0.13,0.13
30,0.20,0.12,0.13
31,0.19,0.10,0.10
32,0.18,0.09,0.10
33,0.17,0.08,0.09
34,0.17,0.07,0.09
35,0.16,0.07,0.08
